Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product_ID,Product_Name,Category,Brand,Color,Size,Quantity,Price,Discount_Percent,Sales,Profit,Payment_Method,Inventory_Stock
ORD10054,2025-08-17,CUST1095,Customer_1054,Female,24,Bengaluru,Karnataka,P013,Saree,Ethnic Wear,Heritage,Black,XXL,2,3999,25,5998.5,1014.81,Debit Card,47
ORD10055,2026-11-24,CUST1562,Customer_1055,Male,51,Delhi,Delhi,P015,Track Pants,Sportswear,SportX,Grey,L,2,1599,0,3198.0,708.86,UPI,41
ORD10056,2025-11-06,CUST1072,Customer_1056,Male,54,Delhi,Delhi,P014,Blazer,Formal Wear,OfficeLine,Pink,XL,5,3499,0,17495.0,5410.55,UPI,16
ORD10057,2025-03-11,CUST1273,Customer_1057,Female,53,Delhi,Delhi,P010,Polo Shirt,T-Shirts,StyleHub,Red,M,3,1299,0,3897.0,400.25,Net Banking,49
ORD10058,2026-06-23,CUST1469,Customer_1058,Female,22,Hyderabad,Telangana,P007,Formal Trousers,Trousers,OfficeLine,Red,XXL,3,1999,0,5997.0,1811.44,UPI,89
ORD10059,2026-05-01,CUST1600,Customer_1059,Male,46,Jaipur,Rajasthan,P014,Blazer,Formal Wear,OfficeLine,White,XL,2,3499,25,5248.5,647.73,Cash,13
ORD10060,2025-11-27,CUST1086,Customer_1060,Female,51,Visakhapatnam,Andhra Pradesh,P014,Blazer,Formal Wear,OfficeLine,Pink,S,5,3499,30,12246.5,1873.5,UPI,92
ORD10061,2025-04-25,CUST1031,Customer_1061,Female,44,Visakhapatnam,Andhra Pradesh,P006,Running Shoes,Footwear,SportX,Beige,XXL,4,3599,30,10077.2,1019.76,Net Banking,27
ORD10062,2026-12-08,CUST1557,Customer_1062,Male,51,Visakhapatnam,Andhra Pradesh,P006,Running Shoes,Footwear,SportX,Pink,XL,5,3599,5,17095.25,4721.91,Net Banking,85
ORD10063,2026-05-25,CUST1303,Customer_1063,Female,50,Kakinada,Andhra Pradesh,P009,Sneakers,Footwear,SportX,Green,XL,1,3299,15,2804.15,357.48,UPI,86
ORD10064,2025-01-12,CUST1163,Customer_1064,Male,48,Delhi,Delhi,P009,Sneakers,Footwear,SportX,Green,XXL,1,3299,25,2474.25,352.5,Cash,63
ORD10065,2025-06-09,CUST1531,Customer_1065,Male,48,Pune,Maharashtra,P011,Cargo Pants,Trousers,UrbanWear,Red,S,1,1799,0,1799.0,196.66,Credit Card,13
ORD10066,2026-02-01,CUST1471,Customer_1066,Male,45,Bhubaneswar,Odisha,P016,Denim Jacket,Outerwear,DenimCo,Pink,L,1,3199,10,2879.1,578.36,Debit Card,18
ORD10067,2026-01-28,CUST1420,Customer_1067,Male,45,Hyderabad,Telangana,P005,Summer Dress,Dresses,Elegance,Red,XXL,5,2999,15,12745.75,2895.37,UPI,19
ORD10068,2025-04-05,CUST1072,Customer_1068,Female,23,Bengaluru,Karnataka,P010,Polo Shirt,T-Shirts,StyleHub,Beige,M,3,1299,20,3117.6,636.98,UPI,34
ORD10069,2026-12-11,CUST1248,Customer_1069,Male,35,Pune,Maharashtra,P013,Saree,Ethnic Wear,Heritage,Pink,M,3,3999,25,8997.75,2156.03,Net Banking,61
ORD10070,2025-12-15,CUST1285,Customer_1070,Male,27,Visakhapatnam,Andhra Pradesh,P013,Saree,Ethnic Wear,Heritage,Black,L,2,3999,30,5598.6,1075.2,Credit Card,59
ORD10071,2026-03-27,CUST1190,Customer_1071,Male,51,Pune,Maharashtra,P012,Kurta,Ethnic Wear,Heritage,Red,L,4,1899,15,6456.6,1572.41,UPI,46
ORD10072,2026-08-14,CUST1443,Customer_1072,Female,56,Bengaluru,Karnataka,P011,Cargo Pants,Trousers,UrbanWear,White,XXL,4,1799,15,6116.6,1301.63,Net Banking,53
ORD10073,2026-01-15,CUST1503,Customer_1073,Male,39,Kolkata,West Bengal,P015,Track Pants,Sportswear,SportX,Black,S,3,1599,5,4557.15,770.97,UPI,11
ORD10074,2026-02-17,CUST1201,Customer_1074,Male,25,Visakhapatnam,Andhra Pradesh,P018,Anarkali Dress,Dresses,Elegance,Yellow,M,5,3299,25,12371.25,2000.86,UPI,76
ORD10075,2025-10-31,CUST1224,Customer_1075,Female,24,Kolkata,West Bengal,P019,Loafers,Footwear,OfficeLine,Blue,XL,1,2799,15,2379.15,686.24,Cash,16
ORD10076,2025-11-25,CUST1464,Customer_1076,Male,31,Bhubaneswar,Odisha,P011,Cargo Pants,Trousers,UrbanWear,Yellow,XL,2,1799,15,3058.3,975.6,UPI,72
ORD10077,2026-05-08,CUST1126,Customer_1077,Female,40,Pune,Maharashtra,P016,Denim Jacket,Outerwear,DenimCo,Green,S,2,3199,30,4478.6,458.43,Cash,20
ORD10078,2025-05-27,CUST1504,Customer_1078,Female,60,Bhubaneswar,Odisha,P009,Sneakers,Footwear,SportX,Grey,S,5,3299,30,11546.5,2566.94,Debit Card,48
ORD10079,2025-01-31,CUST1261,Customer_1079,Male,38,Visakhapatnam,Andhra Pradesh,P017,Chinos,Trousers,OfficeLine,Beige,S,2,1899,10,3418.2,909.83,Credit Card,22
ORD10080,2025-05-21,CUST1176,Customer_1080,Male,39,Visakhapatnam,Andhra Pradesh,P005,Summer Dress,Dresses,Elegance,Beige,L,5,2999,30,10496.5,1587.36,Cash,52
ORD10081,2026-09-16,CUST1383,Customer_1081,Female,45,Kakinada,Andhra Pradesh,P001,Classic T-Shirt,T-Shirts,UrbanWear,Red,XL,1,799,5,759.05,216.78,Cash,78
ORD10082,2026-10-06,CUST1204,Customer_1082,Female,54,Bengaluru,Karnataka,P013,Saree,Ethnic Wear,Heritage,Blue,L,1,3999,25,2999.25,655.92,Debit Card,78
ORD10083,2025-08-11,CUST1353,Customer_1083,Male,54,Mumbai,Maharashtra,P014,Blazer,Formal Wear,OfficeLine,Red,M,5,3499,10,15745.5,4725.25,Debit Card,52
ORD10084,2026-12-30,CUST1551,Customer_1084,Female,45,Vijayawada,Andhra Pradesh,P017,Chinos,Trousers,OfficeLine,Red,S,3,1899,15,4842.45,908.84,UPI,37
ORD10085,2026-05-20,CUST1269,Customer_1085,Male,31,Visakhapatnam,Andhra Pradesh,P007,Formal Trousers,Trousers,OfficeLine,White,L,1,1999,5,1899.05,577.39,Debit Card,5
ORD10086,2026-06-05,CUST1590,Customer_1086,Female,44,Delhi,Delhi,P009,Sneakers,Footwear,SportX,Pink,L,2,3299,5,6268.1,1500.77,Net Banking,78
ORD10087,2026-04-01,CUST1470,Customer_1087,Male,55,Delhi,Delhi,P014,Blazer,Formal Wear,OfficeLine,Black,S,5,3499,15,14870.75,4638.28,Debit Card,75
ORD10088,2025-11-01,CUST1582,Customer_1088,Male,60,Mumbai,Maharashtra,P017,Chinos,Trousers,OfficeLine,White,M,3,1899,20,4557.6,1111.61,Net Banking,75
ORD10089,2025-08-06,CUST1025,Customer_1089,Female,51,Bengaluru,Karnataka,P020,Sweatshirt,Sportswear,UrbanWear,Beige,L,4,1699,20,5436.8,691.84,Net Banking,99
ORD10090,2025-02-24,CUST1477,Customer_1090,Female,21,Bhubaneswar,Odisha,P018,Anarkali Dress,Dresses,Elegance,White,L,3,3299,10,8907.3,1697.26,Debit Card,81
ORD10091,2025-02-10,CUST1224,Customer_1091,Female,20,Kolkata,West Bengal,P006,Running Shoes,Footwear,SportX,Red,S,5,3599,15,15295.75,1653.98,Net Banking,69
ORD10092,2026-06-25,CUST1444,Customer_1092,Male,52,Kolkata,West Bengal,P016,Denim Jacket,Outerwear,DenimCo,Red,S,4,3199,20,10236.8,2972.77,Net Banking,27
ORD10093,2026-11-26,CUST1309,Customer_1093,Male,47,Jaipur,Rajasthan,P003,Casual Shirt,Shirts,StyleHub,Green,S,4,1499,5,5696.2,575.26,Cash,43
ORD10094,2025-10-30,CUST1512,Customer_1094,Female,32,Delhi,Delhi,P014,Blazer,Formal Wear,OfficeLine,Pink,XXL,5,3499,20,13996.0,2131.38,Net Banking,33
ORD10095,2026-02-06,CUST1532,Customer_1095,Female,26,Bengaluru,Karnataka,P015,Track Pants,Sportswear,SportX,Yellow,S,3,1599,15,4077.45,654.27,Cash,37
ORD10096,2026-04-11,CUST1178,Customer_1096,Female,35,Kolkata,West Bengal,P009,Sneakers,Footwear,SportX,Green,S,4,3299,10,11876.4,3797.16,UPI,60
ORD10097,2025-02-14,CUST1236,Customer_1097,Male,57,Delhi,Delhi,P004,Hoodie,Outerwear,UrbanWear,White,L,5,2199,25,8246.25,1904.45,Credit Card,17
ORD10098,2026-02-10,CUST1011,Customer_1098,Male,37,Visakhapatnam,Andhra Pradesh,P003,Casual Shirt,Shirts,StyleHub,Beige,XL,2,1499,0,2998.0,433.02,Net Banking,37
ORD10099,2026-01-03,CUST1325,Customer_1099,Female,30,Bhubaneswar,Odisha,P009,Sneakers,Footwear,SportX,Red,XXL,3,3299,30,6927.9,1838.89,Credit Card,27
ORD10100,2026-12-20,CUST1446,Customer_1100,Male,43,Jaipur,Rajasthan,P012,Kurta,Ethnic Wear,Heritage,Grey,XL,2,1899,30,2658.6,575.58,UPI,33
ORD10101,2025-09-11,CUST1525,Customer_1101,Male,30,Hyderabad,Telangana,P018,Anarkali Dress,Dresses,Elegance,Black,L,2,3299,10,5938.2,796.89,Credit Card,81
ORD10102,2026-11-25,CUST1597,Customer_1102,Female,47,Chennai,Tamil Nadu,P012,Kurta,Ethnic Wear,Heritage,Blue,XXL,4,1899,20,6076.8,1244.39,Cash,91
ORD10103,2025-08-22,CUST1062,Customer_1103,Male,46,Kakinada,Andhra Pradesh,P006,Running Shoes,Footwear,SportX,Blue,XXL,4,3599,15,12236.6,2737.05,Cash,54
ORD10104,2026-06-24,CUST1062,Customer_1104,Male,19,Visakhapatnam,Andhra Pradesh,P019,Loafers,Footwear,OfficeLine,Black,M,3,2799,0,8397.0,2612.73,Debit Card,11
ORD10105,2025-02-04,CUST1031,Customer_1105,Female,22,Mumbai,Maharashtra,P020,Sweatshirt,Sportswear,UrbanWear,Grey,M,3,1699,5,4842.15,817.19,Cash,10
ORD10106,2025-12-25,CUST1237,Customer_1106,Male,35,Kakinada,Andhra Pradesh,P018,Anarkali Dress,Dresses,Elegance,White,S,4,3299,15,11216.6,1867.07,Credit Card,15
ORD10107,2025-07-20,CUST1294,Customer_1107,Male,32,Visakhapatnam,Andhra Pradesh,P009,Sneakers,Footwear,SportX,Red,L,5,3299,5,15670.25,3318.91,Debit Card,79
ORD10108,2026-03-13,CUST1146,Customer_1108,Female,38,Hyderabad,Telangana,P010,Polo Shirt,T-Shirts,StyleHub,Pink,XL,5,1299,15,5520.75,943.76,Credit Card,26
ORD10109,2025-12-28,CUST1277,Customer_1109,Female,48,Bhubaneswar,Odisha,P015,Track Pants,Sportswear,SportX,White,S,2,1599,5,3038.1,336.27,Cash,9
ORD10110,2026-11-13,CUST1113,Customer_1110,Female,19,Bhubaneswar,Odisha,P007,Formal Trousers,Trousers,OfficeLine,White,S,1,1999,0,1999.0,203.97,Cash,64
ORD10111,2026-05-17,CUST1510,Customer_1111,Male,18,Mumbai,Maharashtra,P010,Polo Shirt,T-Shirts,StyleHub,Blue,XXL,2,1299,0,2598.0,597.13,Debit Card,64
ORD10112,2025-08-01,CUST1153,Customer_1112,Male,57,Kolkata,West Bengal,P010,Polo Shirt,T-Shirts,StyleHub,Grey,L,1,1299,30,909.3,262.07,Net Banking,62
ORD10113,2025-04-19,CUST1192,Customer_1113,Female,52,Bengaluru,Karnataka,P019,Loafers,Footwear,OfficeLine,White,XL,5,2799,0,13995.0,3903.14,Credit Card,25
ORD10114,2026-09-22,CUST1018,Customer_1114,Female,32,Hyderabad,Telangana,P011,Cargo Pants,Trousers,UrbanWear,Red,S,3,1799,20,4317.6,505.95,Cash,20
ORD10115,2026-08-26,CUST1191,Customer_1115,Male,56,Delhi,Delhi,P014,Blazer,Formal Wear,OfficeLine,White,L,4,3499,25,10497.0,2755.33,Credit Card,17
ORD10116,2026-08-03,CUST1305,Customer_1116,Male,60,Delhi,Delhi,P016,Denim Jacket,Outerwear,DenimCo,Blue,S,1,3199,20,2559.2,353.29,Net Banking,6
ORD10117,2026-02-23,CUST1539,Customer_1117,Male,55,Pune,Maharashtra,P012,Kurta,Ethnic Wear,Heritage,Red,L,5,1899,20,7596.0,971.68,UPI,64
ORD10118,2025-04-07,CUST1177,Customer_1118,Male,46,Visakhapatnam,Andhra Pradesh,P004,Hoodie,Outerwear,UrbanWear,Beige,XXL,2,2199,25,3298.5,761.31,UPI,6
ORD10119,2026-09-05,CUST1153,Customer_1119,Female,44,Kakinada,Andhra Pradesh,P002,Slim Fit Jeans,Jeans,DenimCo,White,L,3,2499,5,7122.15,2081.49,Debit Card,43
ORD10120,2025-07-15,CUST1456,Customer_1120,Female,60,Delhi,Delhi,P016,Denim Jacket,Outerwear,DenimCo,White,L,4,3199,15,10876.6,2444.26,Net Banking,54
ORD10121,2025-11-09,CUST1245,Customer_1121,Female,22,Kolkata,West Bengal,P019,Loafers,Footwear,OfficeLine,Yellow,XXL,1,2799,0,2799.0,600.25,Cash,42
ORD10122,2025-07-13,CUST1108,Customer_1122,Female,26,Vijayawada,Andhra Pradesh,P004,Hoodie,Outerwear,UrbanWear,Beige,XXL,4,2199,15,7476.6,2329.27,Net Banking,92
ORD10123,2026-04-16,CUST1528,Customer_1123,Female,34,Chennai,Tamil Nadu,P005,Summer Dress,Dresses,Elegance,Red,L,2,2999,10,5398.2,1410.92,UPI,76
ORD10124,2025-11-21,CUST1063,Customer_1124,Female,56,Kolkata,West Bengal,P014,Blazer,Formal Wear,OfficeLine,Yellow,XXL,4,3499,15,11896.6,2681.32,Net Banking,81
ORD10125,2025-11-29,CUST1014,Customer_1125,Male,60,Kakinada,Andhra Pradesh,P011,Cargo Pants,Trousers,UrbanWear,Beige,M,1,1799,0,1799.0,474.2,Net Banking,74
ORD10126,2025-09-12,CUST1366,Customer_1126,Female,42,Bengaluru,Karnataka,P019,Loafers,Footwear,OfficeLine,Red,L,5,2799,20,11196.0,1905.66,UPI,62
ORD10127,2025-09-04,CUST1227,Customer_1127,Male,34,Chennai,Tamil Nadu,P012,Kurta,Ethnic Wear,Heritage,Yellow,S,5,1899,15,8070.75,1156.4,Credit Card,20
ORD10128,2026-06-15,CUST1147,Customer_1128,Male,22,Bengaluru,Karnataka,P007,Formal Trousers,Trousers,OfficeLine,Green,XL,4,1999,0,7996.0,2479.38,Debit Card,89
ORD10129,2025-12-16,CUST1314,Customer_1129,Male,38,Kakinada,Andhra Pradesh,P007,Formal Trousers,Trousers,OfficeLine,Green,M,2,1999,15,3398.3,478.71,UPI,9
ORD10130,2026-05-07,CUST1298,Customer_1130,Female,22,Bhubaneswar,Odisha,P001,Classic T-Shirt,T-Shirts,UrbanWear,Blue,M,3,799,0,2397.0,583.8,UPI,33
ORD10131,2025-03-18,CUST1591,Customer_1131,Female,60,Jaipur,Rajasthan,P007,Formal Trousers,Trousers,OfficeLine,Red,XXL,4,1999,10,7196.4,2147.13,Debit Card,11
ORD10132,2025-11-07,CUST1059,Customer_1132,Female,54,Hyderabad,Telangana,P009,Sneakers,Footwear,SportX,Yellow,XL,1,3299,30,2309.3,511.83,Debit Card,57
ORD10133,2025-03-19,CUST1512,Customer_1133,Male,43,Hyderabad,Telangana,P011,Cargo Pants,Trousers,UrbanWear,Green,XL,1,1799,0,1799.0,243.35,Cash,33
ORD10134,2025-01-23,CUST1464,Customer_1134,Male,26,Bengaluru,Karnataka,P017,Chinos,Trousers,OfficeLine,Grey,XXL,2,1899,25,2848.5,761.13,Debit Card,16
ORD10135,2025-05-10,CUST1508,Customer_1135,Female,25,Vijayawada,Andhra Pradesh,P005,Summer Dress,Dresses,Elegance,Grey,L,5,2999,25,11246.25,1779.14,UPI,48
ORD10136,2026-02-24,CUST1525,Customer_1136,Female,32,Delhi,Delhi,P004,Hoodie,Outerwear,UrbanWear,Green,L,2,2199,30,3078.6,884.46,Cash,28
ORD10137,2025-02-24,CUST1533,Customer_1137,Male,51,Vijayawada,Andhra Pradesh,P007,Formal Trousers,Trousers,OfficeLine,Blue,L,2,1999,10,3598.2,1103.94,Credit Card,52
ORD10138,2025-09-21,CUST1080,Customer_1138,Male,23,Mumbai,Maharashtra,P010,Polo Shirt,T-Shirts,StyleHub,White,XXL,3,1299,10,3507.3,686.04,UPI,51
ORD10139,2026-12-02,CUST1125,Customer_1139,Male,28,Vijayawada,Andhra Pradesh,P017,Chinos,Trousers,OfficeLine,Pink,S,5,1899,5,9020.25,2002.24,Credit Card,16
ORD10140,2025-02-22,CUST1280,Customer_1140,Female,35,Hyderabad,Telangana,P004,Hoodie,Outerwear,UrbanWear,Green,L,5,2199,0,10995.0,2570.5,Cash,22
ORD10141,2025-09-28,CUST1282,Customer_1141,Female,24,Kolkata,West Bengal,P017,Chinos,Trousers,OfficeLine,Pink,XXL,5,1899,0,9495.0,2498.66,Cash,37
ORD10142,2026-04-26,CUST1374,Customer_1142,Male,50,Bengaluru,Karnataka,P012,Kurta,Ethnic Wear,Heritage,Grey,XL,1,1899,30,1329.3,365.27,Net Banking,25
ORD10143,2026-07-05,CUST1002,Customer_1143,Female,60,Chennai,Tamil Nadu,P005,Summer Dress,Dresses,Elegance,Blue,M,5,2999,15,12745.75,3066.41,Net Banking,10
